station,duration,IGS08LAT,IGS08LONG,IGS08ELIPHT,cp_mean(m),cp_std(m),sigmax(m),sigmay(m),sigmaz(m),NominalT,dn (cm),de (cm),dh (cm)
B726,2.99583,44.64840742,-123.062661,42.03120377,0.0000,0.0230,0.0071,0.0037,0.0042,3,0.40,1.22,-2.28
B726,2.99583,44.64840745,-123.0626609,42.03073074,0.0010,0.0360,0.0074,0.0039,0.0047,3,0.65,1.52,-2.33
B726,2.99583,44.64840747,-123.0626606,42.07569408,-0.0010,0.0350,0.0073,0.0041,0.0042,3,0.90,4.08,2.17
BICK,2.99583,44.48952027,-123.2807107,51.97020732,-0.0010,0.0200,0.0035,0.0056,0.0041,3,-1.18,-0.51,1.02
BICK,2.99583,44.48952037,-123.2807107,51.98558332,0.0000,0.0210,0.0050,0.0051,0.0043,3,-0.06,-0.80,2.56
BICK,2.99583,44.48952029,-123.2807106,51.98328079,0.0000,0.0190,0.0044,0.0050,0.0044,3,-0.95,0.35,2.33
BICK,2.99583,44.4895203,-123.2807107,51.96540205,0.0000,0.0210,0.0060,0.0062,0.0046,3,-0.91,-1.01,0.54
BICK,2.89583,44.48952026,-123.2807108,51.98499668,0.0000,0.0210,0.0051,0.0053,0.0045,3,-1.33,-1.26,2.50
BICK,2.99583,44.48952037,-123.2807105,51.97325982,0.0010,0.0240,0.0066,0.0056,0.0043,3,-0.09,0.90,1.33
BICK,2.99583,44.48952048,-123.2807103,51.94670106,0.0000,0.0200,0.0065,0.0056,0.0043,3,1.09,2.44,-1.33
BICK,2.99583,44.48952041,-123.2807104,51.94914268,0.0000,0.0210,0.0107,0.0046,0.0050,3,0.40,1.95,-1.09
BICK,2.99583,44.48952039,-123.2807106,51.9580198,0.0000,0.0220,0.0052,0.0033,0.0040,3,0.18,0.08,-0.20
BICK,2.99583,44.48952046,-123.2807106,51.98273192,-0.0020,0.0240,0.0079,0.0039,0.0050,3,0.87,0.35,2.27
BICK,2.99583,44.48952037,-123.2807106,51.98703169,0.0000,0.0200,0.0063,0.0036,0.0046,3,-0.04,0.46,2.70
BICK,2.99583,44.48952033,-123.2807105,51.98173759,0.0000,0.0220,0.0043,0.0033,0.0036,3,-0.49,0.77,2.17
BICK,2.99583,44.48952032,-123.2807106,51.98128906,0.0010,0.0190,0.0057,0.0035,0.0043,3,-0.59,-0.10,2.13
